product_id,tally_item_id,product_code,product_name,brand,category_id,unit,standard_rate,gst_rate,is_tally_synced,last_tally_sync_at,company_id,status
1,TLY-BAT-0001,AUTO-60,Auto 60,Automotive Series,1,Nos,4200.00,18.00,yes,2026-07-17 10:30:00,1,active
2,TLY-BAT-0002,AUTO-80,Auto 80,Automotive Series,1,Nos,5600.00,18.00,yes,2026-07-17 10:30:00,1,active
3,TLY-BAT-0003,AUTO-90,Auto 90,Automotive Series,1,Nos,6300.00,18.00,yes,2026-07-17 10:30:00,1,active
4,TLY-BAT-0004,AUTO-100,Auto 100,Automotive Series,1,Nos,7000.00,18.00,yes,2026-07-17 10:30:00,1,active
5,TLY-BAT-0005,AUTO-150,Auto 150,Automotive Series,1,Nos,10500.00,18.00,yes,2026-07-17 10:30:00,1,active
6,TLY-BAT-0006,SMART-SHORT-100,Smart Short 100 Kg,Smart Series,2,Nos,7600.00,18.00,yes,2026-07-17 10:30:00,1,active
7,TLY-BAT-0007,SMART-SHORT-165,Smart Short 165 Kg,Smart Series,2,Nos,11200.00,18.00,yes,2026-07-17 10:30:00,1,active
8,TLY-BAT-0008,SMART-100-50KG,Smart 100 50Kg,Smart Series,2,Nos,8500.00,18.00,yes,2026-07-17 10:30:00,1,active
9,TLY-BAT-0009,SMART-152-53KG,Smart 152 53.50Kg,Smart Series,2,Nos,9800.00,18.00,yes,2026-07-17 10:30:00,1,active
10,TLY-BAT-0010,SMART-160-53KG,Smart 160 53Kg,Smart Series,2,Nos,10200.00,18.00,yes,2026-07-17 10:30:00,1,active
11,TLY-BAT-0011,SMART-180-54KG,Smart 180 54Kg,Smart Series,2,Nos,11200.00,18.00,yes,2026-07-17 10:30:00,1,active
12,TLY-BAT-0012,SMART-182-56KG,Smart 182 56Kg,Smart Series,2,Nos,11600.00,18.00,yes,2026-07-17 10:30:00,1,active
13,TLY-BAT-0013,SMART-VG-220-61KG,Smart VG 220 61Kg,Smart Series,2,Nos,12800.00,18.00,yes,2026-07-17 10:30:00,1,active
14,TLY-BAT-0014,SMART-200-64KG,Smart 200 64Kg,Smart Series,2,Nos,13200.00,18.00,yes,2026-07-17 10:30:00,1,active
15,TLY-BAT-0015,SMART-220-66KG,Smart 220 66Kg,Smart Series,2,Nos,14200.00,18.00,yes,2026-07-17 10:30:00,1,active
16,TLY-BAT-0016,SMART-240-68KG,Smart 240 68Kg,Smart Series,2,Nos,15400.00,18.00,yes,2026-07-17 10:30:00,1,active
17,TLY-BAT-0017,SMART-250-70KG,Smart 250 70Kg,Smart Series,2,Nos,16000.00,18.00,yes,2026-07-17 10:30:00,1,active
18,TLY-BAT-0018,SMART-260-71KG,Smart 260 71Kg,Smart Series,2,Nos,16600.00,18.00,yes,2026-07-17 10:30:00,1,active
19,TLY-BAT-0019,SMART-280-75KG,Smart 280 75Kg,Smart Series,2,Nos,17800.00,18.00,yes,2026-07-17 10:30:00,1,active
20,TLY-BAT-0020,SMART-300-78KG,Smart 300 78Kg,Smart Series,2,Nos,19000.00,18.00,yes,2026-07-17 10:30:00,1,active
21,TLY-BAT-0021,CL-192-66KG,CL192 66Kg,CL Series,3,Nos,12400.00,18.00,yes,2026-07-17 10:30:00,1,active
22,TLY-BAT-0022,CL-100-51KG,CL 100 51Kg,CL Series,3,Nos,8800.00,18.00,yes,2026-07-17 10:30:00,1,active
23,TLY-BAT-0023,CL-150-58KG,CL 150 58Kg,CL Series,3,Nos,10200.00,18.00,yes,2026-07-17 10:30:00,1,active
24,TLY-BAT-0024,CL-200-64KG,CL 200 64Kg,CL Series,3,Nos,11000.00,18.00,yes,2026-07-17 10:30:00,1,active
25,TLY-BAT-0025,CL-220-66KG,CL 220 66Kg,CL Series,3,Nos,11400.00,18.00,yes,2026-07-17 10:30:00,1,active
26,TLY-BAT-0026,CL-240-69KG,CL 240 69Kg,CL Series,3,Nos,12500.00,18.00,yes,2026-07-17 10:30:00,1,active
27,TLY-BAT-0027,CL-270-72KG,CL 270 72Kg,CL Series,3,Nos,13500.00,18.00,yes,2026-07-17 10:30:00,1,active
28,TLY-BAT-0028,CL-300-78KG,CL 300 78Kg,CL Series,3,Nos,14800.00,18.00,yes,2026-07-17 10:30:00,1,active
29,TLY-BAT-0029,CL-340-82KG,CL 340 82Kg,CL Series,3,Nos,16200.00,18.00,yes,2026-07-17 10:30:00,1,active
30,TLY-BAT-0030,CLSB-200-C10-73KG,CLSB 200 C10 73Kg,CL Series,3,Nos,14500.00,18.00,yes,2026-07-17 10:30:00,1,active
31,TLY-BAT-0031,LI-12100,LI12100,LI Series,4,Nos,22000.00,18.00,no,,1,active
32,TLY-BAT-0032,LI-24100,LI24100,LI Series,4,Nos,38000.00,18.00,no,,1,active
33,TLY-BAT-0033,LI-12200,LI12200,LI Series,4,Nos,42000.00,18.00,no,,1,active
34,TLY-BAT-0034,LI-48100,LI48100,LI Series,4,Nos,78000.00,18.00,no,,1,active
35,TLY-BAT-0035,LI-51100,LI51100,LI Series,4,Nos,82000.00,18.00,no,,1,active
36,TLY-BAT-0036,LI-48314,LI48314,LI Series,4,Nos,165000.00,18.00,no,,1,active
37,TLY-BAT-0037,LI-51314,LI51314,LI Series,4,Nos,172000.00,18.00,no,,1,active
